fid,username,score,wallet,eligible,reason
"452857","wiiisaaa.eth","0.78","0x1d174652779f7ad79e3ef24b1583d2b6532b0988","true","eligible"
"250941","maswii","0.33","0xcdc0cddfc4afd93029df756efa2dee322cd78f71","false","score_below_min"
"1074591","0xbaboonk","0.19","0x35487b064ca9da11ae0e67f1c5d79715cf822df4","false","score_below_min"
"1456371","indicawolf","0.59","0xbf02c7ae5ff680d0303fbb19ba6d29b17b0df7e9","true","eligible"
"531874","therealcalebik","0.21","0xe43db87a644af2787500981642b6ce1342ac12b2","false","score_below_min"
"352478","chronor","0.48","0xb6b1fa832e713bfd8998197fb7e412965362f8f1","false","score_below_min"
"1052411","n3omi","0.53","0xbe559764cdb8d3f69f160268d9ea176eb138411b","false","score_below_min"
"1114874","efliardian","0.11","0x7f3fd21ae365d60c6d019085809ef7a9d6863252","false","score_below_min"
"416438","barbarasmith","0.37","0x31ae192264ce0cd61951fe0e1d53ad868cfd801e","false","score_below_min"
"389856","papahmuda94","0.5","0xc27990ba65bb05befe6c84fe210e702959bfd32b","false","score_below_min"
"731769","grhabib","0.55","0x436cc669813f721b2526e07766cc04ce180b54a1","false","score_below_min"
"16981","netman","0.79","0xdbe78dec8de11aa9b12c05996bdd1f6d0db39e3f","true","eligible"
"329384","ann15","0.52","0x579c7e178f116c7ad4388be6a143afdce300cbfc","false","score_below_min"
"255028","lumut","0.47","0x715a4bfe20b09a38d3aa37a6c110d154be0868ec","false","score_below_min"
"262438","ozkantr1903","0.74","0xa8bcbd3f5ef7aca3ae330b7650f1687ede956862","true","eligible"
"1310299","mahfudmx","0.32","0xae207258b8b5af1eeca85dcf16653d841277ebf9","false","score_below_min"
"258972","lemi","0.77","0xcc74aaaa3a5220a2b55a42d59be5e98f74391776","true","eligible"
"299894","alienware","0.59","0x86010b858966a44a70e5d0b8a0a20af31385e315","true","eligible"
"777268","chosenfestus","0.67","0x18573133247ad55028c9476efe51f151061e9a67","true","eligible"
"1144980","mailmarzuki","0.4","0x863ca3edb20d4769cd7a35e66918f313e40633a5","false","score_below_min"
"1390332","tradingzone.base.eth","0.86","0x21673ff674aa6cb7dbd30cd0e657ac8426e82965","true","eligible"
"514860","srcklc","0.93","0x827e382cf76844b42c570ef7a3b20afbcb18ca05","true","eligible"
"1015936","zaxck","0.55","0x098a08424fb723ac39dbe00ec4f0f6291967a448","false","score_below_min"
"447623","04sveta04","0.69","0x741ed5abf3872b500e4bfe90149bfeaa46c33476","true","eligible"
"193425","lammz","0.56","0x8841c206aecf0018c68ea25fec8522d7fd2a97fc","true","eligible"
"410296","green911","0.62","0xf28455fcc8dac56584c707c9726301b502d4abdb","true","eligible"
"579748","tonmoy0","0.44","0x66b6152785208fdcf020411dc292e02adb8b84b4","false","score_below_min"
"339166","chideraorji","0.83","0xf2ee4853e9bf7031c81643d5c5c05c2c37b388c8","true","eligible"
"394081","amirhz","0.87","0x765b164b32c295af2eec1d94a84871668a4ffe9f","true","eligible"
"345765","adexmakai.eth","0.94","0xe20d0d6b62d6bd2a536d21654f682f28f78f8f66","true","eligible"
"892889","hazelramon","0.75","0xd96a94dd7c89a498cbb60f2803730293f41c40d3","true","eligible"
"533329","ayeshawaqas","0.79","0xe1dcb3cd01168db52f29172388fb5a41a7c32288","true","eligible"
"892902","liadavid","0.89","0xb518bbf70f4fbb51420c6766e237b70758ef331b","true","eligible"
"940217","futurepicker","0.57","0x0e6d70a309532f175ca27bad144799ec1d5b702a","true","eligible"
"519322","hircani200","0.84","0x76b530845eeabe52d256535313fc01c64017e998","true","eligible"
"434449","warpcast-com","0.93","0x3dbd0ffbaaafadd11f0b0190b6830b00f8071b60","true","eligible"
"459278","nikootine","0.96","0x717a9688b3b20767ef12a1ce4be73eb3e091c3c4","true","eligible"
"250022","abdel19","0.69","0xf3339936cb5d16ef6ec5df4f825820011e4bb741","true","eligible"
"385507","miloos","0.83","0xecb508afde31af7c4402c40a5024e7323dc86f77","true","eligible"
"1067981","olbajol","0.56","0x6a377d9bfd0e16d34954b46de353bedf601a8895","true","eligible"
"335328","siricann","0.55","0x7aec98f92a96146f8e80b8eb4e067e4c919a1f61","false","score_below_min"
"428560","putper","0.64","0x50327073f1dc4313879787caa82e30b06e40972d","true","eligible"
"388622","mona67","0.73","0x1f37067741620ede5dd87964fe9e7e2cef4a180f","true","eligible"
"431068","ana1378","0.93","0x460bd1ace0d2e3b846f1d7f7f95446dbd793c24a","true","eligible"
"490963","scorpion6","0.72","0x4f8d9db539d1fbcb43aad915f10fafd46c7a9591","true","eligible"
"242095","nostoryboss","0.77","0x52f02ece9967df166aa9553fbad0140bb2f49bc3","true","eligible"
"293662","krn","0.93","0x9fddd2024553edd19a43964b6e37d369f70089c3","true","eligible"
"988167","kyloo.eth","0.97","0x505dc6685bd1666a11ba664bc6788d56b19e3256","true","eligible"
"548063","zeebabe","0.73","0x0ee15f3123555c186d2270b98012ee1bb2d94088","true","eligible"
"921932","p1vscpu","0.71","0x61a2266d8d0e90209b4ef57786185fecd3fd4261","true","eligible"
"1065495","kamal78","0.74","0x27e42a5aa7de19e00c02cbeeff38ff71f6ce2f32","true","eligible"
"521994","develi","0.7","0x94520b0228d764df1b9787f921d959a0e6742ce2","true","eligible"
"1463705","kliktautanini","0.41","0x3a63dd47de8d6cd91b3b81f0780cf44e1e3dc3e2","false","score_below_min"
"607731","turabkhan","0.97","0x56bfb4811f56bbc8bc92d588559f07f625b84168","true","eligible"
"990929","zayron","0.79","0x04363bc17667727484fb5369b97ba56c07229b20","true","eligible"
"1125965","yusuf6253","0.73","0x805d49945d0e0686d9ad32d6c5466747796b8e96","true","eligible"
"376360","alisa77","0.73","0x6b2e6f5861496474023d6570a0c49c99a7b4bb64","true","eligible"
"1404714","wdani3231","0.31","0x1b32ca10fbaa64a5bb00ed79e317873c007a2bd3","false","score_below_min"
"514036","subhanahmad","0.72","0xa69b565ad1d4a11dc1bd8997645c77f1f70a3a22","true","eligible"
"1025388","vipulpapriwal","0.83","0x8649d3dec31d9be9ccc9b8ef742ebb9add8642ac","true","eligible"
"310405","nfc","0.83","0x3a10befba177bb2febd504d9ef52c3f9f87d92c8","true","eligible"
"1856253","eddieamin","0.73","0x49f05d9f1d117184d57fad7976437ed22e8f1456","true","eligible"
"519325","cryptoglory","0.96","0xb6f032e8cc3e8dc899597dfbd61d067ce486c36d","true","eligible"
"932313","bigeasy31313","0.43","0x1ced89259bad77655eb1e56f3012939f2d146f79","false","score_below_min"
"252884","primitivee","0.88","0x92257167080db4a4fdfc7c7cad7015c80b584f75","true","eligible"
"213559","mustang","0.99","0x4cf6e70a9918ad86899c2c902312eb761a1e7776","true","eligible"
"392332","yass1221","0.74","0x815662e966ef405023b1b8cdfa1c7e9ecd3c84e8","true","eligible"
"500861","amaliee.eth","0.97","0x5dc8bbcb1ddb0dec2274707546761b22fdbbf93d","true","eligible"
"477604","vonenzo","0.8","0x6195088f4aaae1f8c0a03fe0cd18bb84a57aa11b","true","eligible"
"255189","0xhmm","0.74","0x243a17374400ce162ba0076ac39410f9de550457","true","eligible"
"3322464","harryohh","0.22","0x13748ca1a8f9cab608e95078dee500f43ae30092","false","score_below_min"
"261023","yans01","0.6","0x17be5fca82cb0fff5add38c97bb71534d1cb03d5","true","eligible"
"458143","ikimehar","0.56","0x85af8beb08216d0727b87066b10e32af079e5ac5","true","eligible"
"439489","xingping","0.64","0x9eed5937f2dcdd846229c9eec6ce290cb99acee7","true","eligible"
"255122","onlymoms","0.92","0x73d3a571a5cdff6b6d8b6c5421f7c9812dbad4a3","true","eligible"
"440212","mobeen02","0.74","0xb2469a35264d6e4e772768896cad96d237c30945","true","eligible"
"948872","husk","0.91","0x8dc1426fa34dc5aa3cb1e3f2e6b980c7215f83d5","true","eligible"
"250061","web3degen","0.58","0xf70977a1521f673d563899da50aba798d2a0f111","true","eligible"
"299216","ogechi","0.71","0x3d6b2cec224643267b2e4f8f81bb0b18f62f3c1e","true","eligible"
"484150","monada","0.91","0x68dd9ce71496777d0aae90c216696b7bb0c34d0a","true","eligible"
"429958","faheemmalik","0.49","0xbe8e727af3ac81e56cb436d9f47a05801e4fb6f8","false","score_below_min"
"535151","romz","0.62","0x41dfeed190d5c5afccafadb009d2f864e6b7a9af","true","eligible"
"345377","basevip","0.92","0x2015db0380c2b754bfbe722ad76ca58dd6bc8a52","true","eligible"
"350575","rimonnr","0.63","0x4803fe376b4c6fe651e3f04e99a560e704805f79","true","eligible"
"439425","farwabatool","0.63","0x1c680f3a8e7a80ca76c8490e3f44dc3475f753e9","true","eligible"
"254929","islamic","0.63","0x8895dafbce656ac789f5a63df59d40331a4278c5","true","eligible"
"2831266","eagle-pi","0.26","0x872bd846596cc1aede8fd800997d242e3473fa83","false","score_below_min"
"905676","kissableviv","0.6","0x7b6eb7d53b4438ca9fc2a042dc46cf60be3aaf9a","true","eligible"
"530826","ziah","0.59","0x38b27671a908960fcd16358d4ddb9f86f688a36a","true","eligible"
"946827","tanazolam","0.83","0xba397faae1d5fe10c0356f2e585bef34577ab111","true","eligible"
"1076010","kamal98","0.9","0xbfaf9cda52f8f9b3d3b2eb2ef7cc931ba078d688","true","eligible"
"534280","anitarohima","0.69","0x76b429c6ddc43578775183d5962317b059965827","true","eligible"
"1084807","kcrypto","0.83","0x2d6b97297af0835d0f8cf32b2567e46165b396cf","true","eligible"
"3333842","ayyyelll","0.18","0x3238ed0e4e5db66773b722373561077d1fca3d69","false","score_below_min"
"768687","hodler904","0.27","0x65f3538ae882d4ee38c6d6fff141d8758a028688","false","score_below_min"
"3333908","payrequest","0.37","0x400c249b3f9093b6f5829e28a59a246bfb9f90e7","false","score_below_min"
"17491","jagdeesh","0.5","0xbdbdcccaa005db964479d70c2dbc0e6e13d96578","false","score_below_min"
"3332867","spicyalien","0.24","0x365182e836e60961fde679e5aaabe77ba4972b7d","false","score_below_min"
"433516","saifal","0.26","0xeb65a1c63b04a4e760968c097011f6cc9adc457c","false","score_below_min"
"3326755","jessica-rose","0.18","0x5f7565bd4ae79196346f5165bd8e65636b7a266a","false","score_below_min"
"252549","iiccii","0.97","0xa656970460a8911d1758c6be19367bb4a032f061","true","eligible"
"1344111","ahanhasansiam","0.34","0x56b5ce619ebacd69ce9f0c558539992ed7bebf54","false","score_below_min"
"407288","elmengin","0.84","0x5f42f7b655b5e24c2b677e60598594ee0598a2ef","true","eligible"
"3333182","!3333182","0.42","0x890bfe3b5d3a1b09e3931f92a2e7de5c477cf874","false","score_below_min"
"3333029","marvinsmia","0.38","0x1649c87d7c5effda132e3fa4f0f07ff156546096","false","score_below_min"
"379428","imanparisay","0.79","0x02e3e4d16ceb291a00f2d66f84e426ec4bc0f9ea","true","eligible"
"473807","star99","0.58","0xd7de59486e5012c68eb099233c32b87d7253c1d1","true","eligible"
"742909","ahlulritel22","0.14","0x9e58364376d2cead096dd3464cb434e99b47d2f9","false","score_below_min"
"1104823","obox","0.16","0x737722db5d96ead3030585231c1baf792569977d","false","score_below_min"
"631744","hasnatdango","0.36","0x671de7a7b10536ba3ad184bc4e385272d061c85b","false","score_below_min"
"1412850","zoop001","0.21","0x77057a333ce8d6dd0af822d3b3273e82db408dcb","false","score_below_min"
"3332900","yepes1738","0.42","0x147699d90c98fc9f611fd616ebd6c7bdf6e056ac","false","score_below_min"
"3330457","jennifer91","0.09","0xec4b42a7f1465e5237a6a78c27609f2960f00f3a","false","score_below_min"
"3333065","sevdam","0.47","0xaf092a3f515bb312affee6e71cd788f853b97d8c","false","score_below_min"
"298503","vinito","0.98","0xd275fa8933c6994e51a3337b65237800f4ba54c1","true","eligible"
"1022682","ravikant360","0.19","0xd7cdedb029fbbeb22b234382be948310715d3d80","false","score_below_min"
"368499","javihurr","0.36","0xc7fe5a17cbf0337d4dea4e02b4e9863a0138d580","false","score_below_min"
"3327031","karenporteousx","0.46","0x5bb9999cf15808ae4fa7e58cca67722c5ec20da9","false","score_below_min"
"3319169","saboluffy","0.77","0x101139b515836f1a12faefc2259ede472302536e","true","eligible"
"268958","ukaritakino","0.57","0x92e933b29987fe10c8a7833192da7a9d6e40356d","true","eligible"
"1080963","cyber23","0.16","0xc89b7ac227e912e6c98e877043d72c4ee23cfb01","false","score_below_min"
"268438","cashlessman.eth","0.98","0x21808ee320edf64c019a6bb0f7e4bfb3d62f06ec","true","eligible"
"462627","artsabide","0.9","0xad72f28fbd5b37863d5dd5103f058089be3940e4","true","eligible"
"316323","smshakil","0.94","0x46f25ac4dd7612e77374f9902187d59de454bc33","true","eligible"
"217261","duckfacts.eth","0.98","0x98bb6321aa10562ba458e9e449485a9d93520263","true","eligible"
"1024129","jimmy808","0.41","0x3d04fb1494cf1ad10db473665a858bffb999c47b","false","score_below_min"
"3330302","wavedash","0.41","0x3bf42fee142304e7b2a4bab2090ad34342313e22","false","score_below_min"
"200506","stemo.eth","0.95","0x46e9beef5dc68dff095eca56dadf90247f1af7ef","true","eligible"
"1558498","hasked1981","0.43","0x6fddaee5c6e0fe6d4f64b17c369ec0138a76b3ac","false","score_below_min"
"1137217","abdwnltf","0.39","0x39137e4e0fea5dcd496f5cbacc1979d5495c3426","false","score_below_min"
"1052964","geesmike","0.9","0x4123282cf01ff00d31ce2834863dd266a2fe6806","true","eligible"
"3331847","yanksbaba","0.41","0xf14df4137d832baefbd09a6b29eadd4b9bb2d34b","false","score_below_min"
"1368232","tomas55","0.34","0xb760d85d43f679c2c3ab0816246d079869dd7537","false","score_below_min"
"2239466","oliviaoliver","0.07","0xe1fd205152613dbaefce68006aa96fb100417f74","false","score_below_min"
"210376","skippywalks","0.89","0x3f8085b030b2178d5d5bae587ef39981b02da836","true","eligible"
"2231671","marklawrence","0.55","0x2e5a34668d2ba533e58d7b4e26a36735e2af9163","false","score_below_min"
"3329104","contemplators","0.35","0xf56b8f0ea86e5991be2d34098f484cd7e575331f","false","score_below_min"
"3327967","clubwallen","0.35","0x158911a341b688e9cca36953d81866c4bb7d2b39","false","score_below_min"
"235280","luckygem","0.53","0xd77377d71ef1bf732696fffa35517fb7990e99fa","false","score_below_min"
"229868","sniperwolf","0.54","0xf4180dfdc39404c549b871226be8e6a43f24f6f8","false","score_below_min"
"235304","xoxox","0.55","0x0010b70d4987d0d2a410c7df7df8460b3136219e","false","score_below_min"
"244160","77077","0.55","0xf9255132d1e19673a172c65a4ccdf9f5b314c108","false","score_below_min"
"261286","nightgrind","0.55","0x90037ff51610d6be3b91a253066a95f413eb06c7","false","score_below_min"
"272304","e-lon","0.56","0xcf0b0dae20183aecd2cd8a8c220cbb7a39060c2e","true","eligible"
"267941","jolyeth","0.63","0x1569abd317901a3c582e81e141731b40e55a05fe","true","eligible"
"267598","baselove","0.69","0x34995dc71b7f0134deba51c8688f07f58b20933b","true","eligible"
"237056","botakel.base.eth","0.82","0xcee2244b58af2c8ddca97a4aed0b819c5fcb6910","true","eligible"
"2324169","papaburlon","0.17","0x72053ce621c3f56133530cdf91a9461c2f9d8fab","false","score_below_min"
"306358","sammydoe","0.93","0xfbe4b0f8d68d7dd11e29c663c1241465701b9ea3","true","eligible"
"805407","f1ssure12","0.01","0x701b7442115d03a80d3b7c2ec7e9b9fb7fbdbad1","false","score_below_min"
"3211714","nufman","0.48","0x96c066e30e12976e6f89a87fe885d0c136e15c1e","false","score_below_min"
"520364","earnwithalee","0.53","0xf78c2b56c8b3745df374bdd4c98dacc8ec218af6","false","score_below_min"
"389352","cryptoolga","0.76","0x12cce5d76cc9dbd7e8dd1991b0beba2809073f23","true","eligible"
"956832","mara01","0.94","0x8770600a4a436f275458d116d92009d831092b6c","true","eligible"
"397621","farhan99","0.32","0x9b0fe53f9506bf1b98193622570a1e236d3e20e7","false","score_below_min"
"1110822","kevinlong","0.29","0x768eeb327a524fe645eb0eb7b32dabf0f2b2bcfb","false","score_below_min"
"260396","cuanmx.base.eth","0.69","0x37bc769c78cdaa3d04d67f874107d64fc6c20276","true","eligible"
"235187","sajibdeb.eth","0.9","0xf405c5428b463e4d1e1722fea7a0dd605efface0","true","eligible"
"804128","k0sm0s12","0","0x90356cee480876fe90032cfb5640dc569b213a48","false","score_below_min"
"805189","phant0m42","0","0xaa9d306c9e7cf7137727da47b2994af8dfe0d1a4","false","score_below_min"
"294149","vitot212","0.69","0x9f29acb8108be9b6f79bad958854dee46abb5633","true","eligible"
"237733","esc","0.64","0x012278ef02773768ae01d3ba85b3d4870c35c119","true","eligible"
